'n	a, an.
stelling	proposition, theorem (math.); premise, supposition, hypothesis; thesis; (milit.) position.
stelp	sta(u)nch, stop.
stelsel	system.
stelselmatig	systematic.
stelt	stilt.
stem	n. voice; vote.; vote, go to the poll, record (cast) one's vote; tune (a musical instrument).; vote; voice; incline; tune
stembande	vocal chords.
stembus	ballot-box, poll.
stemmig	sedate, quiet, staid, sober.
stemming	ballot, voting, vote, poll; mood, state of mind, humour, disposition; tuning.
stempel	n. stamp; seal; impression, imprint, (post-) mark, stamp, seal; hall-mark; stigma (bot.).; stamp; hall-mark; mark, brand.
stemreg	franchise, vote; right to vote.
stenig	stone (to death), lapidate.
stenografie	shorthand, stenography.
ster	star, luminary.
stereoskoop	stereoscope.
stereotiep	a. stereotype.
sterf	die.
sterflik	mortal.
sterflikheid	mortality
sterfling	mortal.
steriliseer	sterilize.
sterk	a. strong; virile, robust, powerful.; strengthen; invigorate, encourage.
sterkwater	spirits (of wine), aqua fortis.
sterrekunde	astronomy.
sterrewag	(astronomical) observatory.
stert	tail, brush (of fox), pigtail; train, rear, back portion.
stertriem	crupper (of harness); loin-skin (of natives); jock-belt.
sterwe	vide sterf.
sterweling	vide sterfling.
steun	n. support, aid, assistance, help; stay, prop.; (1) support, help; back (up), prop (up), support; speak in support of, support (a motion).; (2) groan, moan.
steunpilaar	pillar, support; buttress.
steur	disturb; be in the way, intrude; derange, inconvenience.
steurnis	disturbance, nuisance.
stewe	prow.
stewel	boot.
stewig	a. solid, stout, sturdy, strong, substantial.; adv. firm(ly), tight(ly).
stiebeuel	stirrup; footstall.
stiefdogter	stepdaughter.
stiegriem	stirrup-leather.
stier	bull; Taurus.
stif	small rod, style, pencil; pin, peg.
stig	found (a business, a cbllege), establish, form (a society), plant (a colony), institute, start (a fund).; constitute
stigtelik	edifying.
stik	(1) stitch (with a machine).; (2) choke, be choked, stifle, be stifled.; choke; suffocate
stikdonker	a., pitch-dark.
stiksel	stitching.
stikstof	nitrogen.
stil	a., quiet, still, calm; silent.; allay (fears, pain); quiet, hush (the conscience); alleviate, still (pain); satisfy, appease (hunger).; interj., hush! keep quiet!; shut up!.
stilbly	keep (remain) quiet.
stilet	stiletto.
stilhou	stop, halt, come to a stop (halt), pull (draw) up.
stilisties	stylistic.
stilletjies	quietly, softly; on the quiet, on the sly, stealthily, secretly.
stilstand	standstill, stop, stoppage; stagnation.
stilswye	silence.
stilte	silence, stillness, quiet.
stimuleer	stimulate.
stingel	stem, stalk.
stink	a. stinking, evil-smelling, fetid.; stink, smell bad.
stinkerd	stinkard, stinker, skunk.
stinkhout	stinkwood.
stinkmuishond	Cape polecat.
stip	n., point, spot, dot.; a. & adv., punctual, precise, accurate; strict; prompt.
stippel	n., spot, speck, point, dot.; dot, point; stipple.
stiptelik	promptly, precisely, strictly.
stipuleer	stipulate, demand.
stoei	wrestle, romp.
stoel	n. chair, seat.
stoep	stoep.
stoer	sturdy, hardy, stout.
stoet	procession, train.
stof	n. (1) dust, powder.; n. (2) material, stuff; matter; subject-matter.; dust, remove the dust.
stofbesem	hair-broom.
stofbril	goggles.
stofdig	dust-proof.
stoffasie	material, stuff; calibre.
stoffeer	upholster, furnish.
stofferig	dusty.
stoflik	material; tangible.
stofnaam	name of material; (gram.) material noun.
stofsuier	vacuum cleaner.
Stoïsyn	Stoic philosopher.
stok	stick, staff; pole; handle (of broom); stick, club (golf).; stop (of breath).
stokalleen	solitary, quite alone.
stokblind	stone-blind.
stokdoof	stone-deaf.
stoker	stoker, fireman; distiller; firebrand.
stokkerig	stalky, woody, stringy, fibrous; stocky; clumsy
stokou	very old.
stokperdjie	hobby-horse; hobby, fad.
stoksielalleen	quite (all) alone.
stokstil	stock-still, motionless.
stokstyf	as stiff as a poker.
stokverf	stopverf, putty.
stol	clot, coagulate, congeal; freeze.
stolp	cover, bell-jar.
stom	dumb, mute, speechless; foolish, stupid, dull; poor, wretched.
stommeling	blockhead, ass.
stommerik	fathead, blockhead.
stommiteit	blunder; stupidness.
stomp	n. stump, stub.; a. blunt, dull; snub, stumpy; obtuse (angle).
stomp hoek	obtuse angle.
stomphoekig	obtuse-angled.
stompsinnig	stupid, dense, dull.
stonde	hour, time.
stoof	n. stove.; stew, braise, cook (meat), broil, swelter (in the sun).
stook	fire, stoke (furnace); burn (coal); make (light) a fire; distil (spirits).
stoom	n. steam.; steam.
stoor	vide steur.
stoornis	vide steurnis.
stoot	n. push, thrust, dig; shot, stroke (billiards).; push, thrust, knock, bump; jostle (in a crowd); butt, toss (with the horns).
stootkant	false hem.
stootkussing	buffer.
stop	(1) stop (up), fill (up), plug (up) (a hole); fill (a pipe, a tooth); darn (a sock); stuff (birds); slip (into one's pocket); bundle (into a vehicle).; (2) stop, pull up, halt, come (bring) to a stop.
stoppel	stubble.
stopsit	stop, close down; put an end (a stop) to.
stopverf	stokverf, putty.
storie	story, yarn; fib.
storm	n. storm, gale.; storm.
stormenderhand	by storm.
stormloop	storm, attack, rush, charge.
stormram	battering ram.
stort	pour; spil (milk); shed (blood, tears); deposit, pay in (money); plunge (into water, misery).
stortbad	shower(-bath).
stortreën	n. downpour, deluge.; come down in torrents.
stortvloed	flood, torrent; deluge, mass.
stotter	stutter, stammer.
stout	a. naughty, bad; bold, daring.
stouterd	naughty boy (girl).
stoutmoedig	bold, daring.
stowe	vide stoof, (ge-).
stowwerig	vide stoff(er)ig.
straal	n. beam, ray (of light, hope); flash (of lightning); stream, jet (of water); radius (of a circle); gleam, flicker, (of hope).; shine; beam, glow, flash, radiate.
straalvliegtuig	jet aircraft.
straalvormig	radial.
straat	n. street; strait (of the sea).; face with stones, pave.
straatweg	highroad.
straf	n. punishment, penalty.; a.; adv. severe( winter); severe, stern (tone); rigid.; punish, chastise.
strafdoel	penalty goal.
strafsaak	criminal case.
strafskop	penalty kick, free kick.
strak	tight, taut, tense; severe, hard, fixed.
strakkies	presently, in a minute; perhaps.
straks	perhaps; presently.
stram	stiff, rigid.
stramboel	vide snaar, n.
strand	" n., beach, seaside; ""strand"", seaside resort."; strand, run ashore.
strandhuis	seaside cottage (bungalow)
strandloper	sand-plover, -piper.
strandmeer	lagoon, coastal lake.
strategies	strategic(al).
strawasie	difficulty.
streef	strive, endeavour.
streek	region, track, area, part; point (of compass); trick, wile, artifice, dodge, joke.
streel	fondle, caress, stroke; gratify; flatter (one's vanity).
streep	n. stroke, line; stripe; streak (of light); dash.; mark with a stripe; cane.
streepsak	grain-bag.
streepsuiker	cane-juice, a hiding.
strek	stretch, reach, extend; last.
strekking	tendency, drift, inclination; purport, tenor, sense, meaning.
strem	curdle, coagulate; hinder, obstruct, hold up.
streng	strict, severe (winter, judge, sentence), stern, austere.
strengel	plait, twine, twist.
streukel	vide struikel.
strewe	vide streef.
striem	castigate, lash, cut.
strik	n., knot, bow; snare, noose, trap (for catching); snag.; a., strict, severe; precise.; tie (in a bow); snare, strikvraag, poser, puzzling, question.
string	n., string; thread; skein (of yarn); strand (of rope); trace (of harness).
stroef	stiff; rough; gruff, surly, roughmannered.
strofe	stanza, strophe.
stroming	stream, current; tendency, drift, trend.
strompel	stumble, hobble, limp.
stronk	n., stalk; stump.
strooi	n., straw.; scatter (money, seeds); strew (flowers); sprinkle, dredge (meal, sugar).
strooibiljet	hand-bill.
strooihuis	straw hut, Bantuhut.
strooijonker	best man.
strooimeisie	bridesmaid.
stroois	vide strooihuis.
strooisuiker	castor-sugar.
strook	n. strip, band; frill, flounce (needlework).; agree, tally, fit in.
stroom	n. stream; current (in ocean, of electricity); Qood (of light, tears); flow, spate (of words).; stream, flow, rush, pour.
stroom-op	altyd - wees, be contrary (perverse).
stroop	n., syrup, treacle; love (tennis).; pillage, plunder; strip.
stroopkwas	met die - werk, butter up, flatter.
stroopsoet	as sweet as honey, honey-sweet; very sweet (good) (of child).
strooptog	raid, marauding expedition.
strop	" strap, brace, rope, halter; ""strop"" (for oxen)."
strottehoof	larynx.
struik	bush, shrub.
struikel	stumble, trip.
struikrower	robber, highwayman.
struis	vide strooihuis.
struktuur	structure, texture.
struweling	trouble, row, ruction.
stry	fight, combat, contend, struggle; argue; quarrel; contradict, deny.
stryd	fight, battle, struggle, conflict, war.
strydig	conflicting, contrary.
strydlustig	bellicose, pugnacious.
strydperk	arena, lists.
strydvaardig	ready (prepared) for war (battle).
stryk	n. stroke.; 1. go, walk, stride, march.; 2. smooth (one's hair); stroke (one's beard); iron (linen); draw the bow over (the strings); strike (the flag).
strykstok	bow, fiddlestick.
strykyster	flat-iron, (solid) sad-iron.
stu	push, press; stow (cargo).
studeer	study; prepare, read (for an examination).
studeerlamp	study-lamp, reading-lamp.
student	student.
studie	study.
stug	reserved, stiff, difficult to deal with, unfriendly, curt.
stuif	be dusty; Ay, rush.
stuifmeel	pollen.
stuifswam	puff-ball.
stuip	convulsion(s), seizure, fit(s).
stuiptrekking	convulsion.
stuit	check, arrest, stop.
stuitend	objectionable, offensive.
stuitig	objectionable.
stuitjie	stuitjiebeen, tail-bone.
stuiwe	vide stuif.
stuiwer	halfpenny.
stuk	piece; article (of clothing, furniture), fragment, splinter; paper, document, piece, man (at chess).
stukkend	broken; tipsy; ugly; torn.
stukrag	driving-force, -power.
stuksgewys	singly, one by one.
stumper	bungler; poor blighter.
stustraal	ram-jet.
stut	n. prop, support, stay; buttress, stanchion; strut; truss.; prop (up), support, shore (up), truss (up).
stuur	n. (steering-)wheel; handles; tiller, rudder, helm (of ship).; dispatch; drive (horses, motor); steer (ship); guide.
stuurboord	starboard.
stuurman	steersman, man at the helm; (chief) mate; cox(swain).
stuurs	curt, cool, stiff, reserved, gruff, surly.
styf	a. stiff, rigid; starched; firm.; starch; (fig.) stiffen.
styfhoofdig	obstinate, headstrong.
styg	rise, ascend; climb.
styl	(1) style.; (2) post (of door, bed), jamb; strut; stanchion, support.
stysel	starch.
stywe	vide stuif, (ge-).
subiet	suddenly; at once, straightaway.
sublimeer	sublimate.
subsidie	subsidy, grant (in-aid).
subtiel	subtle.
suf	a. dull, stupid, thickheaded.
sug	n. (1) sigh; desire, thirst, love, passion.; n. (2) pus, matter; (illness) dropsy.; sigh; sough (of wind).
suggestie	suggestion
suid	south.
suidelik	south, southerly; southern.
suiderbreedte	south latitude.
suidissel	sowmilk-thistle.
Suidpoolsee	Antarctic Ocean.
suie	vide suig.
suier	sucker; piston, plunger (of pump); sucker (of plant).
suierstang	piston-rod.
suig	suck.; suck
suigeling	infant, baby.
suiker	sugar.
suikerbekkie	sugar-bird, sun-bird.
suikerbrood	sponge-cake; sugar-loaf.
suikersiekte	diabetes.
suikersoet	as sweet as sugar.
suil	pillar, column, obelisk, pile.
suinig	stingy, niggardly; parsimonious, frugal, thrifty.
suip	guzzle, booze; drink (of animals).
suiplap	toper, boozer, soaker, tippler.
suis	buzz, sing, tingle (in the ears); sough, rustle, sigh, moan (of wind); whiz(z).
suiwel	butter and cheese, dairy products.
suiwer	a., pure, clean, plain (truth), clear; sheer, pure (nonsense), correct (pronunciation).; purify (blood, air, language), clean, cleanse, purge; refine (sugar).
sukkel	plod (on), trudge (on), drudge, toil.
sukkelrig	ailing, in indifferent health; ploddingly, slowly.
sukses	success.
suksesvol	successful
sulfa	sulfa (sulpha).
sulke	a. & pron., (pl. pron., -s), such; (pl.) such ones.
sult	brawn.
suring	sorrel, sheep-sorrel, dock.
sus	adv., thus.; hush, quiet; pacify, calm.
suspisie	suspicion.
suster	sister, (also) nurse.
suur	n. acid (chem.), acidity (of the stomach).; a., sour, acid, acrid, peevish.
suurdeeg	yeast, leaven.
suurkanol	crabby fellow.
suurklontjies	acid-drops.
suurlemoen	lemon.
suurstof	oxygen.
suutjies	
swaai	n. swing; sweep.; swing, wield (a sceptre), wave, flourish; swing, sway (to and fro) reel; wheel (rugby).
swaan	swan; jong -, cygnet.
swaap	block head, simpleton.
swaar	heavy; massive; difficult, hard, stiff (examination); severe (iilness, punishment).
swaard	sword.
swaardblom	-lelie, sword-lily, gladiolus.
swaarlywig	corpulent, stout.
swaarmoedig	melancholy, depressed.
swaartekrag	gravitation, force of gravity.
swaarweer	thundery weather, thunderstorm, -clap.
swaarwigtig	weighty, ponderous.
swaer	brother-in-law.
swagtel	n. bandage, swathe.; bandage, swathe.
swak	n. weakness, failing.; weak; feeble (voice); delicate (health, child); poor, bad (chance, show, memory); gentle, soft(er), weaker (sex).
swakkeling	weakling.
swaksinnig	mentally deficient.
swam	fungus; spavin.
swang	in -, in vogue.
swarigheid	difficulty, obstacle.
swart	n. black.; a. black.
swartgallig	pessimistic, melancholy.
swartsmeer	blacken; vilify.
swartspan	team of black oxen, church-council.
swawel	n. 1. swallow.; n. 2. sulphur.
swawelstert	dovetail; swallowtail; V-shaped earmark; swallowtail(ed) (coat).
Swede	Sweden.
sweef	float, hover; glide, flit (by, past); soar (aloft).
sweefbrug	suspension bridge.
sweefspoor	aerial railway.
sweefstok	trapeze.
sweem	semblance, trace, shred.
sweep	whip.
sweer	n. ulcer, tumour, abscess.; 1. fester, ulcerate.; 2, swear, vow.
sweerlik	surely, certainly, without a doubt.
sweet	n. sweat, perspiration.; sweat, perspire; cure.
sweetvos	chestnut, sorrel.
sweis	weld, forge.
swel	swell, expand, dilate.
swelg	swill (drink), guzzle (food).
swem	swim.
swendel	n. swindle, fraud.; swindle, swenk, (-e), n, turn, swerve, side-step.
swenk	swerve; swing round, wheel (about); change about, swerf, swerwe, (ge-), rove, wander, roam, stray.
swerfling	wanderer; tramp, vagabond; stray (child, dog).
swerm	n. swarm; (bees in) hive.; swarm, cluster, crowd.
swernoot	swernoter, (-s), scoundrel, skunk.
swerwe	vide swerf.
swetrioel	swarm, multitude.
swiep	swish.
swier	n. flourish, swagger; gracefulness, elegance.; glide, carry oneself gracefully; be (go) on the spree.
swig	give way, yield.
swik	make a false step, stumble.
swingel	swingle(tree).
Switser	Swiss.
swoeë	toil, drudge; swot.
swoel	sultry, close.
swye	n. silence.; be (remain) silent.
swygsaam	silent, taciturn.
swymel	be (become, feel) dizzy.
swyn	swine, pig.
sy	n. (1) silk.; n. (2) side; flank (of army).; pers, pron. she.; poss. pron. his, its.; v. dit - so, so be it.
sybok	angora-goat.
syde	ter -, aside, on one side.
sydelings	sidelong; lateral.
syfer	n. figure; bogey (golf).; (1) figure, reckon, calculate.; (2) ooze, filter.
syg	ooze, filter; sink down.
synde	being
syne	s'n, dit is Pa -, it is Father's.
synersyds	on his part, from his side.
sypaadjie	-pad, by-path; pavement.; side-by-path; pavement, side-walk
sypel	vide syfer, (ge-), (2).
sysie	(bird) seed-eater; siskin.
sywurm	silk worm.
ta	father.
taai	tough; sticky; wiry, hardy, touch; dogged, tenacious.; tough, sticky; viscous, viscid; wiry, hardy, tough (person); stinger; dogged persistence
taak	task.
taal	language, tongue, speech.
taalkunde	philolop, linguistics.
taalkundig	philological, linguistic; parsing
taamlik	a. fair, passable.; adv. fairly, passably, tolerably.
taan	dim, pale, fade; wane.
taankleurig	tawny, tan-coloured.
tabak	tobacco.
tabberd	dress, skirt.
tabel	table, list, index.
tabernakel	tabernacle.
tablet	tablet; lozenge.
taboe	taboo.
tafel	table; index.
tafereel	picture, description; scene.
tagtig	eighty.
tak	branch, bough; antlers (of stag).; tact.
takbok	deer, stag.
takel	n. tackle.; rig, tackle; knock about, dress down, maul, handle roughly.
takelblok	tackle, block.
takhaar	Backvelder.
taks	n. portion, share, taks, (ge-), estimate, reckon.
takseer	appraise, estimate, value.
takt	vide tak.
taktiek	tactics.
tal	number.
talent	talent.
talm	delay, linger, loiter, dawdle.
talryk	numerous, multitudinous.
tam	weary, tired, fatigued.
tamaai	huge, colossal, gigantic.
tamaryn	tamarind.
tamatie	tomato.
tamatiepruim	persimmon.
tamatiestraat	hy is in -, he is up the pole.
tamboer	drum; drummer.
tameletjie	butter-scotch, tameletjie.
tand	tooth; prong (of fork); cog.
tandarts	dentist, dental surgeon.
tandepasta	dental cream, tooth-paste.
tandheelkunde	dentistry.
tandvleisontsteking	gingivitis
tang	(pair of) pincers; tongs (for sugar, coal, hair); pliers; forceps.; pliers; tongs; pincers; forceps
tangens	tangent.
tans	nowadays, now.
tante	(-s), aunt(ie); missus, madam.
tap	n. tap; spigot, plug, bung; tennon; trunnion.; tap, draw.
tapbeitel	socket-chisel.
tapisserie	tapestry.
taps	n. flick, cut, lash, hit.
tapyt	carpet, tarentaal, (-tale), guinea-fowl.
tarief	tariff; list (scale) of charges; rate, terms; fare.
tarra	tare.
tart	defy, dare, provoke.
Tartaar	Tartar.
tarwe	wheat.
tas	n. (1). bag, pouch, satchel, wallet.; grope, feel; touch.
tasbaar	palpable, tangible.
Tasmanië	Tasmania.
tatoeëer	tattoo.
tawwerd	vide tabberd.
te	prep, at, in; to.; adv. too.
teater	theatre.
tee	tea.; adv. against.
teëblad	counterfoil.
teëet	sig - aan, have a surfeit of.
